av_x,av_y,av_z,stdev_x,stdev_y,stdev_z,mad_x,mad_y,mad_z,ara,tbp_x,tbp_y,tbp_z
-1.94756666178,9.83376177598,1.96037768484,3.29299385972,4.18969423955,4.21461888729,2.63747236041,3.41250651043,3.33159376234,6.555417304e+12,975000000.0,725000000.0,750000000.0
-6.99099374762,7.94594172773,0.690730790701,4.33397738024,4.04860372238,3.08869870725,3.59991361183,3.39802284803,2.4158418113,6.560417304e+12,375000000.0,675000000.0,625000000.0
-8.80278162157,5.55130044136,0.8458164501,4.26673031539,4.51195988663,2.90842598115,3.48161070161,3.82891386969,2.40007362025,6.565417304e+12,,875000000.0,633333333.333
-8.81871592203,5.7416738075,1.01936416201,4.14561439175,4.16213949166,2.68024511184,3.34782993036,3.50066886996,2.20398524733,6.570417304e+12,600000000.0,1600000000.0,1533333333.33
-9.06893357347,5.70353288002,0.866023525756,4.79315569629,4.37051033934,3.2625723606,3.69409826679,3.57683458599,2.53381853743,6.575417304e+12,300000000.0,1033333333.33,1516666666.67
-9.07360324079,5.39718919797,0.854192089129,4.30331962748,4.1367554905,3.20607850385,3.27787779924,3.34822621932,2.47208630794,6.580417304e+12,450000000.0,800000000.0,387500000.0
-8.91508673296,5.2718900847,0.986137838308,4.41532603635,4.40805207444,2.92417996761,3.5173152269,3.60080172055,2.26231133631,6.585417304e+12,900000000.0,750000000.0,1150000000.0
-1.0205706892,10.4734563378,0.678098155396,5.38767688711,3.72440285031,3.89275337102,4.25214888154,2.87120024228,3.01589517683,6.659707343e+12,550000000.0,900000000.0,525000000.0
-4.88862980946,9.46310969799,0.667427850708,4.45331168814,3.39775884803,2.71473645884,3.55298781526,2.70145962846,2.2216439391,6.664707343e+12,600000000.0,660000000.0,1266666666.67
-6.60888349787,8.28634544396,0.654818226823,4.73340502064,3.20596187543,2.60298121971,3.78125685798,2.45782486421,2.02782923163,6.669707343e+12,825000000.0,650000000.0,1000000000.0
-7.1234058525,8.00147907409,0.460585076576,5.30450278314,3.57742265656,3.07553080869,4.16123420456,2.86455726821,2.38876442286,6.674707343e+12,850000000.0,875000000.0,1150000000.0
-7.31369599742,7.70881447846,0.661332141006,4.76357864087,3.45274241964,2.94228934437,3.85773659793,2.64334521236,2.2606513622,6.679707343e+12,1050000000.0,900000000.0,1775000000.0
-7.2091107744,7.74124386765,0.487143160195,4.56180443856,3.40751636703,2.47324903135,3.69076647882,2.74382617744,1.83452000394,6.684707343e+12,625000000.0,700000000.0,850000000.0
-7.272922784,7.76746620863,0.766315666766,5.22579122147,3.32421218213,2.71573259866,4.24804392651,2.57467723789,1.97502769226,6.689707343e+12,1200000000.0,916666666.667,2125000000.0
5.8077108948,8.98206445681,0.889874997138,3.68813661544,2.76547733628,2.76532777764,3.04778807017,2.18695401298,2.24486689475,6.761827338e+12,783333333.333,900000000.0,380000000.0
6.41978294515,9.01433676248,0.356014303676,5.00809687602,4.10228120816,3.95791098021,4.07607217534,3.34452519298,3.21661452691,6.766827338e+12,2175000000.0,683333333.333,450000000.0
6.71919339321,8.92859859799,0.465700615731,5.18829773216,4.52731511801,3.47879671744,4.29338095674,3.54162345585,2.71848567677,6.771827338e+12,1800000000.0,880000000.0,687500000.0
6.74129374248,8.83220721655,0.196975075354,4.65444286339,3.977302056,3.44892575771,3.83442337747,3.25410173168,2.70908255329,6.776827338e+12,962500000.0,590000000.0,683333333.333
6.32738016461,9.28600510242,0.454851062816,4.46895470505,3.44813783618,3.39596193286,3.68114138212,2.69170750274,2.70543950409,6.781827338e+12,660000000.0,1433333333.33,1800000000.0
6.69422806615,8.97575224682,0.149493614986,4.62205828476,3.71092017952,2.84870352986,3.74137394677,2.82236546179,2.3223786301,6.786827338e+12,837500000.0,840000000.0,1950000000.0
7.1198678566,8.68588869805,0.216404959204,5.00990956021,3.89631931645,3.5394428894,4.10588706035,3.05476105063,2.65164156925,6.791827338e+12,1250000000.0,1050000000.0,2225000000.0
4.04926481272,9.81119847117,0.790467361702,4.52290281059,3.20909267564,2.66448055858,3.78879154117,2.52280286723,2.17338682201,6.861127356e+12,250000000.0,850000000.0,900000000.0
4.64108170108,10.1841301504,0.0165303807635,4.86922046595,3.90832855567,3.07496240601,4.11294420099,3.07471826226,2.42081642129,6.866127356e+12,730000000.0,641666666.667,1025000000.0
2.53276461564,10.4572488645,0.157956643128,4.04744275261,3.91755821437,3.03097298518,3.2637094228,3.25437015333,2.26106559217,6.871127356e+12,1550000000.0,616666666.667,616666666.667
1.89882942092,10.7324794624,0.0257662722336,4.3167877007,3.56703892889,2.61196356908,3.52355667403,2.92735845628,2.06902078481,6.876127356e+12,1250000000.0,1450000000.0,1516666666.67
